: 440785K->48960K(440896K), 0.0227220 secs] 6654690K->6327061K(12533952K), 0.0229010 secs] [Times: user=0.36 sys=0.00, real=0.02 secs] 
: 440690K->48960K(440896K), 0.0203020 secs] 6718791K->6391572K(12533952K), 0.0205020 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440874K->48960K(440896K), 0.0240380 secs] 6783486K->6456181K(12533952K), 0.0242730 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
: 440896K->48903K(440896K), 0.0270800 secs] 6848117K->6521434K(12533952K), 0.0273020 secs] [Times: user=0.31 sys=0.01, real=0.03 secs] 
: 440813K->48960K(440896K), 0.0214090 secs] 6913344K->6584686K(12533952K), 0.0216390 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440818K->48960K(440896K), 0.0235560 secs] 6976545K->6650903K(12533952K), 0.0238120 secs] [Times: user=0.34 sys=0.01, real=0.03 secs] 
: 440840K->48917K(440896K), 0.0210770 secs] 7042784K->6716913K(12533952K), 0.0214140 secs] [Times: user=0.30 sys=0.01, real=0.02 secs] 
: 440648K->48960K(440896K), 0.0229710 secs] 7108643K->6781601K(12533952K), 0.0231650 secs] [Times: user=0.35 sys=0.00, real=0.02 secs] 
: 440725K->48960K(440896K), 0.0200250 secs] 7173366K->6847408K(12533952K), 0.0202320 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440663K->48960K(440896K), 0.0221760 secs] 7239112K->6912952K(12533952K), 0.0223770 secs] [Times: user=0.31 sys=0.00, real=0.02 secs] 
: 440891K->48928K(440896K), 0.0211760 secs] 7304884K->6978642K(12533952K), 0.0213610 secs] [Times: user=0.28 sys=0.00, real=0.03 secs] 
: 440850K->48955K(440896K), 0.0255500 secs] 7370565K->7045767K(12533952K), 0.0257830 secs] [Times: user=0.34 sys=0.00, real=0.03 secs] 
: 440890K->48928K(440896K), 0.0234100 secs] 7437703K->7110494K(12533952K), 0.0236150 secs] [Times: user=0.29 sys=0.01, real=0.03 secs] 
: 440680K->48960K(440896K), 0.0214710 secs] 7502246K->7175906K(12533952K), 0.0216580 secs] [Times: user=0.32 sys=0.00, real=0.02 secs] 
: 440833K->48960K(440896K), 0.0235350 secs] 7567780K->7240767K(12533952K), 0.0237300 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0193040 secs] 7632703K->7306022K(12533952K), 0.0195200 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440640K->48960K(440896K), 0.0226000 secs] 7697703K->7370111K(12533952K), 0.0227730 secs] [Times: user=0.32 sys=0.00, real=0.03 secs] 
: 440859K->48960K(440896K), 0.0203960 secs] 7762010K->7434385K(12533952K), 0.0206270 secs] [Times: user=0.29 sys=0.01, real=0.02 secs] 
: 440896K->48949K(440896K), 0.0202310 secs] 7826321K->7499747K(12533952K), 0.0204420 secs] [Times: user=0.27 sys=0.00, real=0.02 secs] 
: 440777K->48960K(440896K), 0.0174300 secs] 7891576K->7564491K(12533952K), 0.0176460 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
: 440884K->48960K(440896K), 0.0244040 secs] 7956415K->7629796K(12533952K), 0.0246390 secs] [Times: user=0.34 sys=0.01, real=0.03 secs] 
: 440896K->48960K(440896K), 0.0184010 secs] 8021732K->7691334K(12533952K), 0.0185710 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0209820 secs] 8083270K->7755686K(12533952K), 0.0212370 secs] [Times: user=0.28 sys=0.00, real=0.02 secs] 
: 440746K->48960K(440896K), 0.0229310 secs] 8147473K->7819511K(12533952K), 0.0231710 secs] [Times: user=0.34 sys=0.00, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0233870 secs] 8211447K->7888605K(12533952K), 0.0236390 secs] [Times: user=0.33 sys=0.00, real=0.02 secs] 
: 440896K->48960K(440896K), 0.0211610 secs] 8280541K->7951082K(12533952K), 0.0213890 secs] [Times: user=0.26 sys=0.00, real=0.02 secs] 
: 440697K->48956K(440896K), 0.0191450 secs] 8342819K->8012172K(12533952K), 0.0193670 secs] [Times: user=0.30 sys=0.00, real=0.02 secs] 
: 440892K->48943K(440896K), 0.0226880 secs] 8404108K->8079104K(12533952K), 0.0229300 secs] [Times: user=0.27 sys=0.01, real=0.02 secs] 
: 440826K->48956K(440896K), 0.0195410 secs] 8470987K->8144175K(12533952K), 0.0197880 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
